SCIENTIFIC NAME,LATITUDE,LONGITUDE,OBSERVATION DATE
Pyrocephalus rubinus,-15.763369,-47.857734,2005-07-17
Pyrocephalus rubinus,-15.80259,-47.91251,2005-07-18
Pyrocephalus rubinus,-15.80259,-47.91251,2006-05-14
Pyrocephalus rubinus,-15.80259,-47.91251,2007-03-08
Pyrocephalus rubinus,-15.7701755,-47.8684782,2007-09-16
Pyrocephalus rubinus,-15.80259,-47.91251,2007-09-10
Pyrocephalus rubinus,-15.6806921,-47.9783249,2008-04-08
Pyrocephalus rubinus,-15.77318,-47.831849,2009-08-29
Pyrocephalus rubinus,-15.8005951,-47.9115915,2010-08-04
Pyrocephalus rubinus,-15.8005951,-47.9115915,2010-08-04
Pyrocephalus rubinus,-15.5883582,-47.6975083,2010-10-02
Pyrocephalus rubinus,-15.80259,-47.91251,2015-05-26
Pyrocephalus rubinus,-15.6216316,-47.651782,2015-05-09
Pyrocephalus rubinus,-15.801421,-47.9079437,2015-05-09
Pyrocephalus rubinus,-15.76316,-47.858006,2015-05-19
Pyrocephalus rubinus,-15.6570898,-47.3320627,2015-05-09
Pyrocephalus rubinus,-15.76316,-47.858006,2015-05-19
Pyrocephalus rubinus,-15.85645,-47.49063,2015-06-27
Pyrocephalus rubinus,-15.8562515,-47.489562,2015-06-27
Pyrocephalus rubinus,-15.80259,-47.91251,2016-07-17
Pyrocephalus rubinus,-15.80259,-47.91251,2016-08-23
Pyrocephalus rubinus,-15.763369,-47.857734,2017-05-24
Pyrocephalus rubinus,-15.80259,-47.91251,2017-05-07
Pyrocephalus rubinus,-15.80259,-47.91251,2017-07-18
Pyrocephalus rubinus,-15.7728802,-47.9210624,2018-05-05
Pyrocephalus rubinus,-15.7728802,-47.9210624,2018-05-05
Pyrocephalus rubinus,-15.7728802,-47.9210624,2018-05-08
Pyrocephalus rubinus,-15.80259,-47.91251,2018-05-31
Pyrocephalus rubinus,-15.77183,-47.921742,2018-07-18
Pyrocephalus rubinus,-15.77183,-47.921742,2018-07-20
Pyrocephalus rubinus,-15.763369,-47.857734,2018-07-05
Pyrocephalus rubinus,-15.77183,-47.921742,2018-09-29
Pyrocephalus rubinus,-15.77183,-47.921742,2019-04-26
Pyrocephalus rubinus,-15.5610438,-47.603116,2019-05-26
Pyrocephalus rubinus,-15.5610438,-47.603116,2019-05-26
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-08
Pyrocephalus rubinus,-15.734663,-48.1805592,2019-06-05
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-13
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-06
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-23
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-30
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-24
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-22
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-26
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-20
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-08
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-11
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-25
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-14
Pyrocephalus rubinus,-15.814961,-48.058977,2019-06-28
Pyrocephalus rubinus,-15.734663,-48.1805592,2019-06-05
Pyrocephalus rubinus,-15.814961,-48.058977,2019-07-18
Pyrocephalus rubinus,-15.814961,-48.058977,2019-07-22
Pyrocephalus rubinus,-15.77183,-47.921742,2019-07-17
Pyrocephalus rubinus,-15.814961,-48.058977,2019-07-04
Pyrocephalus rubinus,-15.80259,-47.91251,2019-07-04
Pyrocephalus rubinus,-15.814961,-48.058977,2019-07-02
Pyrocephalus rubinus,-15.814961,-48.058977,2019-07-16
Pyrocephalus rubinus,-15.814961,-48.058977,2019-07-23
Pyrocephalus rubinus,-15.77183,-47.921742,2019-08-17
Pyrocephalus rubinus,-15.80259,-47.91251,2019-09-03
Pyrocephalus rubinus,-20.3661856,-40.3349076,2015-05-09
Pyrocephalus rubinus,-13.499864,-48.2577467,1990-08-26
Pyrocephalus rubinus,-18.2609794,-52.8883982,2001-04-15
Pyrocephalus rubinus,-18.2609794,-52.8883982,2001-04-14
Pyrocephalus rubinus,-17.7223173,-52.6897431,2004-04-26
Pyrocephalus rubinus,-18.2609794,-52.8883982,2005-09-15
Pyrocephalus rubinus,-18.2609794,-52.8883982,2006-08-23
Pyrocephalus rubinus,-18.2609794,-52.8883982,2008-08-11
Pyrocephalus rubinus,-18.2609794,-52.8883982,2008-08-23
Pyrocephalus rubinus,-18.2609794,-52.8883982,2008-08-23
Pyrocephalus rubinus,-17.8812724,-51.7215327,2009-01-01
Pyrocephalus rubinus,-18.2609794,-52.8883982,2009-04-29
Pyrocephalus rubinus,-15.8547849,-48.9562549,2009-06-25
Pyrocephalus rubinus,-18.2609794,-52.8883982,2010-07-28
Pyrocephalus rubinus,-18.2609794,-52.8883982,2010-07-25
Pyrocephalus rubinus,-18.2609794,-52.8883982,2010-07-28
Pyrocephalus rubinus,-18.2609794,-52.8883982,2010-07-27
Pyrocephalus rubinus,-18.2609794,-52.8883982,2010-07-27
Pyrocephalus rubinus,-18.2609794,-52.8883982,2010-07-28
Pyrocephalus rubinus,-18.2609794,-52.8883982,2010-07-27
Pyrocephalus rubinus,-18.2609794,-52.8883982,2010-07-27
Pyrocephalus rubinus,-18.2609794,-52.8883982,2010-07-28
